Gene	"Gene synonym"	Uniprot
CRTAP	"CASP, LEPREL3, P3H5"	O75718
CRTC1	"FLJ14027, KIAA0616, MECT1, TORC1"	Q6UUV9
CRX	"CORD2, CRD, LCA7, OTX3"	O43186
CRY1	PHLL1	Q16526
CRYAA	"CRYA1, HSPB4"	P02489
CRYAB	"CRYA2, HSPB5"	P02511
CRYBA1	CRYB1	P05813
CRYBA2		P53672
CRYBA4		P53673
CRYBB1		P53674
CRYBB2	"CCA2, CRYB2, CRYB2A"	P43320
CRYBB3	CRYB3	P26998
CRYGB	CRYG2	P07316
CRYGC	CRYG3	P07315
CRYGD	CRYG4	P07320
CRYGS	CRYG8	P22914
CRYM	DFNA40	Q14894
CSF1	"M-CSF, MCSF, MGC31930"	P09603
CSF1R	"C-FMS, CD115, CSFR, FMS"	P07333
CSF2RA	"alphaGMR, CD116, CSF2R"	P15509
CSF2RB	"betaGMR, CD131, IL3RB, IL5RB"	P32927
CSF3R	"CD114, GCSFR"	Q99062
CSGALNACT1	"ChGn, CSGalNAcT-1, FLJ11264"	Q8TDX6
CSNK1D	"CKID, CKIdelta, HCKID"	P48730
CSNK2A1	"Cka1, Cka2"	P68400
CSNK2B	"Ckb1, Ckb2"	P67870
CSPP1	"CSPP, CSPP-L, FLJ22490, JBTS21"	Q1MSJ5
CSRP3	"CLP, CMD1M, MLP"	P50461
CST3		P01034
CST6		Q15828
CSTA	"STF1, STFA"	P01040
CSTB	"CST6, EPM1, PME, STFB"	P04080
CTBP1	BARS	Q13363
CTC1	"AAF132, C17orf68, FLJ22170"	Q2NKJ3
CTCF	"CFAP108, FAP108"	P49711
CTDP1	FCP1	Q9Y5B0
CTH	CSE	P32929
CTHRC1		Q96CG8
CTLA4	"CD, CD152, CELIAC3, CTLA-4, GSE, IDDM12"	P16410
CTNNA1	CAP102	P35221
CTNNA2	"CAP-R, CT114"	P26232
CTNNA3	"MGC26194, VR22"	Q9UI47
CTNNB1	"armadillo, beta-catenin, CTNNB"	P35222
CTNNBL1	"C20orf33, FLJ21108, NAP, NYD-SP19, P14, P14L"	Q8WYA6
CTNND1	"CTNND, KIAA0384, p120, p120cas, p120ctn"	O60716
CTNND2	"GT24, NPRAP"	Q9UQB3
CTNS	"CTNS-LSB, PQLC4, SLC66A4"	O60931
CTPS1	"CTPS, GATD5A"	P17812
CTRC	"CLCR, ELA4"	Q99895
CTSA	"GSL, PPGB"	P10619
CTSB		P07858
CTSC	"DPP1, PALS, PLS"	P53634
CTSD	"CLN10, CPSD"	P07339
CTSF	"CATSF, CLN13"	Q9UBX1
CTSK	"CTSO, CTSO2, PKND, PYCD"	P43235
CTU2	"C16orf84, NCS2"	Q2VPK5
CUBN	"gp280, IFCR, MGA1"	O60494
CUEDC2	"C10orf66, MGC2491"	Q9H467
CUL3		Q13618
CUL4B		Q13620
CUL7	"dJ20C7.5, KIAA0076"	Q14999
CUX1	"CASP, CDP, CDP/Cut, CDP/Cux, CDP1, Clox, CUT, CUTL1, CUX, Cux/CDP, GOLIM6"	"P39880, Q13948"
CUX2	"CDP2, CUTL2, KIAA0293"	O14529
CWC27	"NY-CO-10, SDCCAG-10, SDCCAG10"	Q6UX04
CWF19L1	"FLJ10998, hDrn1"	Q69YN2
CX3CR1	"CCRL1, CMKBRL1, CMKDR1, GPR13, V28"	P49238
CXCR2	"CD182, CMKAR2, IL8RB"	P25025
CXCR4	"CD184, D2S201E, fusin, HM89, HSY3RR, LESTR, NPY3R, NPYR, NPYY3R"	P61073
CYB561	"CYB561A1, FRRS2"	P49447
CYB5A	CYB5	P00167
CYB5R3	DIA1	P00387
CYBA	p22-PHOX	P13498
CYBB	"CGD, GP91-PHOX, NOX2"	P04839
CYBC1	"C17orf62, Eros, FLJ90469, MGC4368"	Q9BQA9
CYC1	UQCR4	P08574
CYCS	"CYC, HCS"	P99999
CYFIP2	PIR121	Q96F07
CYLD	"CYLD1, KIAA0849, USPL2"	Q9NQC7
CYP11A1	"CYP11A, P450SCC"	P05108
CYP11B1	"CPN1, CYP11B, FHI, P450C11"	P15538
CYP11B2	"ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo"	P19099
CYP17A1	"CPT7, CYP17, P450C17, S17AH"	P05093
CYP19A1	"ARO, ARO1, aromatase, CPV1, CYAR, CYP19, P-450AROM"	P11511
CYP1B1	"CP1B, GLC3A"	Q16678
CYP21A2	"CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B"	P08686
CYP24A1	"CP24, CYP24, lncBCAS1-4_1, P450-CC24"	Q07973
CYP26B1	P450RAI-2	Q9NR63
CYP26C1		Q6V0L0
CYP27A1	"CP27, CTX, CYP27"	Q02318
CYP27B1	"CYP1, P450c1, PDDR, VDD1"	O15528
CYP2R1		Q6VVX0
CYP2U1	"SPG49, SPG56"	Q7Z449
CYP3A4	CYP3A3	P08684
CYP4F2		P78329
CYP4F22	FLJ39501	Q6NT55
CYP4V2	CYP4AH1	Q6ZWL3
CYP7B1	SPG5A	O75881
D2HGDH	"D2HGD, FLJ42195, MGC25181"	Q8N465
DAAM2	"KIAA0381, NPHS24"	Q86T65
DAB1		O75553
DAB2IP	"AF9Q34, AIP1, DIP1/2, KIAA1743"	Q5VWQ8
DACT1	"DAPPER, DAPPER1, FRODO, HDPR1, THYEX3"	Q9NYF0
DAG1	"156DAG, A3a, AGRNR, DAG"	Q14118
DAGLA	"C11orf11, DAGLALPHA, KIAA0659, NSDDR"	Q9Y4D2
DALRD3	FLJ10496	Q5D0E6
DAO	"DAAO, DAMOX"	P14920
DAOA	G72	P59103
DARS1	DARS	P14868
DARS2	"FLJ10514, mtAspRS"	Q6PI48
DAZ1	"DAZ, SPGY"	Q9NQZ3
DAZ2	"MGC126442, pDP1678"	Q13117
DAZ3		Q9NR90
DAZ4		Q86SG3
DBH	DBM	P09172
DBN1	D0S117E	Q16643
DBR1		Q9UK59
DBT	"BCKAD-E2, BCKDH-E2, BCOADC-E2"	P11182
DCAF17	"C2orf37, FLJ13096"	Q5H9S7
DCAF8	"FLJ35857, H326, WDR42A"	Q5TAQ9
DCC	"IGDCC1, NTN1R1"	P43146
DCDC2	"DCDC2A, DFNB66, KIAA1154, NPHP19, RU2"	Q9UHG0
DCHS1	"CDH25, CDHR6, FIB1, FLJ11790, KIAA1773, PCDH16"	Q96JQ0
DCLRE1B	"APOLLO, FLJ12810, FLJ13998, SNM1B"	Q9H816
DCLRE1C	"A-SCID, ARTEMIS, FLJ11360, SCIDA, SNM1C"	Q96SD1
DCN	"DSPG2, SLRR1B"	P07585
DCPS	"HINT-5, HINT5, HSL1, HSPC015"	Q96C86
DCT	"TRP-2, TRP2, TYRP2"	P40126
DCTN1		Q14203
DCX	"DBCN, DC, LISX, SCLH, XLIS"	O43602
DCXR	"DCR, HCR2, KIDCR, P34H, SDR20C1"	Q7Z4W1
DDB1		Q16531
DDB2	"DDBB, FLJ34321, UV-DDB2, XPE"	Q92466
DDC	AADC	P20711
DDHD1	"iPLA1alpha, KIAA1705, PA-PLA1, PAPLA1, SPG28"	Q8NEL9
DDHD2	"iPLA1gamma, KIAA0725, p125B, SAMWD1, SPG54"	O94830
DDIT3	"CHOP, CHOP10, GADD153"	P35638
DDOST	"KIAA0115, OST, OST48, WBP1"	P39656
DDR2	"NTRKR3, TKT, TYRO10"	Q16832
DDRGK1	"C20orf116, dJ1187M17.3, UFBP1"	Q96HY6
DDX11	"CHL1, ChlR1, KRG-2, WABS"	Q96FC9
DDX3X	"CAP-Rf, DBX, DDX14, DDX3, HLP2"	O00571
DDX3Y	DBY	O15523
DDX41	"ABS, MGC8828"	Q9UJV9
DDX59	"DKFZP564B1023, ZNHIT5"	Q5T1V6
DDX6	"HLR2, RCK, Rck/p54"	P26196
DEAF1	"NUDR, SPN, ZMYND5"	O75398
DECR1	"DECR, SDR18C1"	Q16698
DEF6	"IBP, SLAT, SWAP70L"	Q9H4E7
DEFB126	"bA530N10.1, C20orf8, DEFB-26"	Q9BYW3
DEGS1	"DEGS-1, Des-1, DES1, FADS7, MLD"	O15121
DEK	D6S231E	P35659
DENND1A	"FAM31A, FLJ21129, KIAA1608"	Q8TEH3
DENND1B	"C1orf218, FAM31B, FLJ20054, MGC27044"	Q6P3S1
DENND5A	"FLJ22354, FLJ33829, FLJ43455, KIAA1091, RAB6IP1"	Q6IQ26
DEPDC5	"DEP.5, KIAA0645"	O75140
DES	"CMD1I, CSM1, CSM2"	P17661
DGAT1	"ARGP1, DGAT"	O75907
DGKE	"DAGK6, DGK"	P52429
DGUOK	dGK	Q16854
DHCR24	"DCE, KIAA0018, seladin-1"	Q15392
DHCR7	SLOS	Q9UBM7
DHDDS	"DS, FLJ13102, hCIT, HDS, RP59"	Q86SQ9
DHFR		P00374
DHH	"HHG-3, MGC35145"	O43323
DHODH		Q02127
DHPS	MIG13	P49366
DHTKD1	"CMT2Q, DKFZP762M115, KIAA1630, MGC3090"	Q96HY7
DHX16	"DBP2, DDX16, Prp2, PRPF2"	O60231
DHX30	"DDX30, FLJ11214, KIAA0890"	Q7L2E3
DHX37	"DDX37, Dhr1, KIAA1517, MGC2695, MGC4322"	Q8IY37
DHX38	"DDX38, hPrp16, KIAA0224, PRP16, PRPF16"	Q92620
DIABLO	"DFNA64, DIABLO-S, FLJ10537, FLJ25049, SMAC"	Q9NR28
DIAPH1	"DFNA1, hDIA1, LFHL1, mDia1"	O60610
DIAPH2	"DIA, DIA2, POF, POF2"	O60879
DIAPH3	"AN, AUNA1, DRF3, FLJ34705, NSDAN"	Q9NSV4
DICER1	"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1"	Q9UPY3
DIO1	TXDI1	P49895
DIPK2A	"C3orf58, DIA1, HASF, MGC33365"	Q8NDZ4
DIPK2B	"CXorf36, DIA1R, FLJ14103"	Q9H7Y0
DIS3L2	"FAM6A, FLJ36974, MGC42174"	Q8IYB7
DISC1		Q9NRI5
DKC1	"Cbf5, DKC, dyskerin, NAP57, NOLA4, XAP101"	O60832
DLAT	"DLTA, E2, PDC-E2"	P10515
DLD	"DLDH, E3, GCSL, LAD, OGDC-E3"	P09622
DLEC1	"CFAP81, DLC1, FAP81"	Q9Y238
DLG3	"KIAA1232, MRX90, NE-Dlg, NEDLG, PPP1R82, SAP-102, SAP102"	Q92796
DLG4	"PSD-95, PSD95, SAP-90, SAP90"	P78352
DLL1		O00548
DLL3	SCDO1	Q9NYJ7
DLL4		Q9NR61
DLST	"DLTS, KGD2, OGDC-E2"	P36957
DLX3		O60479
DLX4	"BP1, DLX7, DLX8, DLX9"	Q92988
DLX5		P56178
DMBT1	"Gp-340, GP340, hensin, muclin, SALSA, vomeroglandin"	Q9UGM3
DMD	"BMD, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85"	P11532
DMGDH	ME2GLYDH	Q9UI17
DMP1		Q13316
DMPK	"DM, DM1, DM1PK, DMK, MDPK, MT-PK"	Q09013
DMRT1	"CT154, DMT1"	Q9Y5R6
DMXL2	"DFNA71, KIAA0856, RC3"	Q8TDJ6
DNA2	"DNA2L, KIAA0083"	P51530
DNAAF1	"CILD13, DAU1, FLJ25330, LRRC50, ODA7, swt"	Q8NEP3
DNAAF11	"CILD19, LRRC6, LRTP, tilB, TSLRP"	Q86X45
DNAAF2	"C14orf104, CILD10, FLJ10563, KTU, PF13"	Q9NVR5
DNAAF3	"C19orf51, CILD2, FLJ36139, FLJ40069, PCD, PF22"	Q8N9W5
DNAAF4	"CILD25, DYX1C1, EKN1, FLJ37882"	Q8WXU2
DNAAF5	"CILD18, FLJ20397, FLJ25564, FLJ31671, FLJ39381, HEATR2"	Q86Y56
DNAAF6	"CXorf41, MGC35261, NYSAR97, PIH1D3, TWISTER"	Q9NQM4
DNAH1	"DNAHC1, HDHC7, HL-11, HL11, XLHSRF-1"	Q9P2D7
DNAH10	FLJ43808	Q8IVF4
DNAH11	"CILD7, DNAHBL, Dnahc11, DNHBL, DPL11"	Q96DT5
DNAH17	"DNAHL1, DNEL2, FLJ40457"	Q9UFH2
DNAH2	"DNHD3, FLJ46675, KIAA1503"	Q9P225
DNAH5	"CILD3, Dnahc5, HL1, KTGNR, PCD"	Q8TE73
DNAH8	hdhc9	Q96JB1
DNAH9	"DNAH17L, Dnahc9, DNAL1, DYH9, HL-20, HL20, KIAA0357"	Q9NYC9
DNAI1	"CILD1, DIC1, PCD"	Q9UI46
DNAI2	"CILD9, DIC2"	Q9GZS0
DNAI3	"DIC3, FLJ30067, NYD-SP29, WDR63"	Q8IWG1
DNAJB11	"EDJ, ERdj3, HEDJ"	Q9UBS4
DNAJB13	"RSPH16A, TSARG6"	P59910
DNAJB2	"CMT2T, HSJ1, HSPF3"	P25686
DNAJB6	"LGMD1D, MRJ"	O75190
DNAJC12	JDP1	Q9UKB3
DNAJC13	"KIAA0678, RME8"	O75165
DNAJC15	"DNAJD1, MCJ"	Q9Y5T4
DNAJC19	"Pam18, Tim14, TIMM14"	Q96DA6
DNAJC21	"DNAJA5, GS3, JJJ1"	Q5F1R6
DNAJC3	"ERdj6, HP58, P58, p58(IPK), P58IPK, PRKRI"	Q13217
DNAJC30	WBSCR18	Q96LL9
DNAJC5	"CLN4, DNAJC5A, FLJ00118, FLJ13070"	Q9H3Z4
DNAJC6	"KIAA0473, PARK19"	O75061
DNAL1	"1700010H15RiK, C14orf168, CILD16, MGC12435"	Q4LDG9
DNAL4	"dJ327J16, PIG27"	O96015
DNASE1	DNL1	P24855
DNASE1L3	"DNAS1L3, LSD"	Q13609
DNASE2	"DNL, DNL2"	O00115
DNHD1	"C11orf47, CCDC35, DHCD1, DKFZp686J0796, DNHD1L, FLJ32752, FLJ35709, FLJ46184"	Q96M86
DNM1	DNM	Q05193
DNM1L	"DRP1, DVLP, DYMPLE, HDYNIV, VPS1"	O00429
DNM2	"CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII"	P50570
DNMBP	"ARHGEF36, KIAA1010, Tuba"	Q6XZF7
DNMT1	"CXXC9, DNMT, MCMT"	P26358
DNMT3A		Q9Y6K1
DNMT3B		Q9UBC3
DOCK2	KIAA0209	Q92608
DOCK3	"KIAA0299, MOCA, PBP"	Q8IZD9
DOCK6	"KIAA1395, ZIR1"	Q96HP0
DOCK7	"KIAA1771, ZIR2"	Q96N67
DOCK8	"FLJ00026, FLJ00152, FLJ00346, ZIR8"	Q8NF50
DOK7	"C4orf25, Dok-7, FLJ33718, FLJ39137"	Q18PE1
DOLK	"DK1, KIAA1094, TMEM15"	Q9UPQ8
DONSON	"B17, C21orf60, C2TA, DKFZP434M035"	Q9NYP3
DPAGT1	"ALG7, CDG-Ij, D11S366, DGPT, DPAGT, DPAGT2, GPT"	Q9H3H5
DPF2	"BAF45d, REQ, SMARCG2, ubi-d4"	Q92785
DPH1	"DPH2L, DPH2L1, OVCA1"	Q9BZG8
DPH2	DPH2L2	Q9BQC3
DPM1	"CDGIE, MPDS"	O60762
DPM2	"MGC111193, MGC21559"	O94777
DPM3	"MGC125904, MGC125905, MGC34275"	Q9P2X0
DPP10	"DPL2, DPPY, DPRP3"	Q8N608
DPP6	"DPL1, DPPX"	P42658
DPY19L2	"FLJ32949, SPATA34"	Q6NUT2
DPYD	"DHPDHase, DPD"	Q12882
DPYS	DHPase	Q14117
DPYSL5	"CRAM, CRMP-5, CRMP5, CV2, Ulip6"	Q9BPU6
DRAM2	"MGC54289, PRO180, RP5-1180E21.1, TMEM77, WWFQ154"	Q6UX65
DRC1	"C2orf39, CCDC164, CILD21, FLJ32660, MGC16372"	Q96MC2
DRD3		P35462
DRD5	"DRD1B, DRD1L2"	P21918
DSC2	"CDHF2, DSC3"	Q02487
DSC3	"CDHF3, DSC, DSC1, DSC2, DSC4"	Q14574
DSE	"DS-Epi1, DSEPI, SART2"	Q9UL01
DSG1	"CDHF4, DSG"	Q02413
DSG2	CDHF5	Q14126
DSG3	CDHF6	P32926
DSG4	"CDHF13, LAH"	Q86SJ6
DSP	"DPI, DPII, KPPS2, PPKS2"	P15924
DSPP	"DFNA39, DGI1, DMP3"	Q9NZW4
DST	"BP240, BPA, BPAG1, CATX-15, FLJ13425, FLJ21489, FLJ30627, FLJ32235, KIAA0728, MACF2"	Q03001
DSTYK	"DustyPK, KIAA0472, RIP5, RIPK5, SPG23"	Q6XUX3
DTNA	"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3"	Q9Y4J8
DTNBP1	"BLOC1S8, DBND, Dysbindin, HPS7, My031"	Q96EV8
DTYMK	"CDC8, TMPK, TYMK"	P23919
DUOX2	"LNOX2, P138-TOX, P138(TOX), THOX2"	Q9NRD8
DUOXA2		Q1HG44
DUSP6	"MKP-3, PYST1"	Q16828
DUX4		Q9UBX2
DVL1		O14640
DVL3	KIAA0208	Q92997
DYM	"DMC, FLJ20071, SMC"	Q7RTS9
DYNC1H1	"CMT2O, DHC1, DNCH1, Dnchc1, DNCL, DNECL, HL-3, p22"	Q14204
DYNC1I2	"DIC74, DNCI2"	Q13409
DYNC2H1	"DHC1b, DHC2, DNCH2, DYH1B, hdhc11"	Q8NCM8
DYNC2I1	"CFAP163, DIC6, FAP163, FLJ10300, WDR60"	Q8WVS4
DYNC2I2	"bA216B9.3, CFAP133, DIC5, FAP133, MGC20486, WDR34"	Q96EX3
DYNC2LI1	"CGI-60, D2LIC, DKFZP564A033, LIC3"	Q8TCX1
DYNLT2B	"MGC33212, TCTEX1D2"	Q8WW35
DYRK1A	"DYRK, DYRK1, MNBH"	Q13627
DYRK1B	MIRK	Q9Y463
DYSF	"FER1L1, LGMD2B"	O75923
DZIP1	"DZIP, KIAA0996"	Q86YF9
DZIP1L	"DZIP2, FLJ32844"	Q8IYY4
EARS2	"KIAA1970, MSE1, mtGlnRS"	Q5JPH6
EBF3	"COE3, DKFZp667B0210"	Q9H4W6
EBP	"CDPX2, CHO2, CPX, CPXD"	Q15125
ECE1	ECE	P42892
ECEL1	"DINE, XCE"	O95672
ECHS1	SCEH	P30084
ECM1		Q16610
EDA	"ED1, ED1-A1, ED1-A2, EDA-A1, EDA-A2, EDA1, EDA2, HED, ODT1, XHED, XLHED"	Q92838
EDAR	"DL, ED1R, ED3, ED5, EDA1R, EDA3"	Q9UNE0
EDARADD		Q8WWZ3
EDC3	"FLJ21128, hYjeF_N2-15q23, LSM16, YJDC, YJEFN2"	Q96F86
EDEM3	C1orf22	Q9BZQ6
EDN1	ET1	P05305
EDN3	ET3	P14138
EDNRA	"ET-A, ETA-R, hET-AR"	P25101
EDNRB	"ETB, HSCR, HSCR2"	P24530
EED	"HEED, WAIT-1"	O75530
EEF1A2	"EEF1AL, HS1, STN, STNL"	Q05639
EEF2	"EEF-2, EF2"	P13639
EFEMP1	"DHRD, FBLN3, FBNL, MTLV, S1-5"	Q12805
EFEMP2	"FBLN4, UPH1"	O95967
EFHC1	"EJM, EJM1, FLJ10466, POC9, RIB72"	Q5JVL4
EFL1	"EFTUD1, FAM42A, FLJ13119, HsT19294, RIA1"	Q7Z2Z2
EFNB1	"CFNS, Elk-L, EPLG2, LERK2"	P98172
EFR3A	KIAA0143	Q14156
EFTUD2	"SNRNP116, Snrp116, Snu114, U5-116KD"	Q15029
EGF		P01133
EGFR	"ERBB, ERBB1, ERRP"	P00533
EGLN1	"C1orf12, HIFPH2, PHD2, SM-20, ZMYND6"	Q9GZT9
EGR2	KROX20	P11161
EHBP1	"KIAA0903, NACSIN"	Q8NDI1
EHHADH	ECHD	Q08426
EHMT1	"bA188C12.1, EHMT1-IT1, Eu-HMTase1, FLJ12879, FLJ40292, GLP, KIAA1876, KMT1D"	Q9H9B1
EI24	"EPG4, PIG8, TP53I8"	O14681
EIF2AK1	"HCR, hHRI, HRI, KIAA1369"	Q9BQI3
EIF2AK2	"PKR, PPP1R83, PRKR"	P19525
EIF2AK3	"PEK, PERK"	Q9NZJ5
EIF2AK4	"GCN2, KIAA1338"	Q9P2K8
EIF2B1	"EIF-2B, EIF-2Balpha, EIF2B, EIF2BA, EIF2Balpha"	Q14232
EIF2B2	"EIF-2Bbeta, EIF2B, EIF2Bbeta"	P49770
EIF2B3	"EIF-2B, EIF2Bgamma"	Q9NR50
EIF2B4	"DKFZP586J0119, EIF-2B, EIF2B, EIF2Bdelta"	Q9UI10
EIF2B5	"EIF-2B, EIF2Bepsilon"	Q13144
EIF2S3	"EIF2, EIF2G, EIF2gamma"	P41091
EIF3D	"eIF3-p66, eIF3-zeta, EIF3S7"	O15371
EIF3F	"eIF3-epsilon, eIF3-p47, EIF3S5"	O00303
EIF4A3	"DDX48, EIF4AIII, Fal1, KIAA0111"	P38919
EIF4E	"EIF4E1, EIF4EL1, EIF4F"	P06730
EIF4G1	"EIF4F, EIF4G, p220, PARK18"	Q04637
EIF4H	"KIAA0038, WBSCR1, WSCR1"	Q15056
EIF5A	"EIF-5A, EIF5A1, MGC104255, MGC99547"	P63241
ELAC2	"FLJ10530, HPC2"	Q9BQ52
ELANE	"ELA2, HLE, HNE, NE, PMN-E"	P08246
ELF4	"ELFR, MEF"	Q99607
ELL	"C19orf17, ELL1, Men, PPP1R68"	P55199
ELMO2	"CED-12, CED12, ELMO-2, FLJ11656, KIAA1834"	Q96JJ3
ELMOD3	"DFNB88, FLJ21977, RBED1, RBM29"	Q96FG2
ELN	"SVAS, WBS, WS"	P15502
ELOVL1	Ssc1	Q9BW60
ELOVL4	"CT118, SCA34, STGD2, STGD3"	Q9GZR5
ELOVL5	"dJ483K16.1, HELO1, SCA38"	Q9NYP7
ELP1	"DYS, IKAP, IKBKAP, IKI3, TOT1"	O95163
ELP2	"FLJ10879, STATIP1, StIP"	Q6IA86
ELP3	"FLJ10422, KAT9"	Q9H9T3
ELP4	"C11orf19, PAXNEB"	Q96EB1
EMC1	KIAA0090	Q8N766
EMC10	"C19orf63, HSM1, HSS1, INM02"	Q5UCC4
EMD	"LEMD5, STA"	P50402
EMG1	"C2F, Grcc2f, NEP1"	Q92979
EML1	"ELP79, EMAP, EMAPL, HuEMAP"	O00423
EML4	"C2orf2, ELP120, ROPP120"	Q9HC35
EMP2	XMP	P54851
EMX2		Q04743
EN1		Q05925
EN2		P19622
ENAM	AIH2	Q9NRM1
ENG	"CD105, END, HHT1, ORW, ORW1"	P17813
ENO3		P13929
ENPP1	"M6S1, NPPS, PC-1, PCA1, PDNP1"	P22413
ENSG00000290147		P43080
ENTPD1	"ATPDase, CD39, NTPDase-1, SPG64"	P49961
EOGT	"AER61, C3orf64, FLJ33770"	Q5NDL2
EOMES	TBR2	O95936
EP300	"KAT3B, p300"	Q09472
EPAS1	"bHLHe73, HIF2A, HLF, MOP2, PASD2"	Q99814
EPB41	"4.1R, EL1"	P11171
EPB41L1	"4.1N, KIAA0338"	Q9H4G0
EPB42	"MGC116735, MGC116737, PA"	P16452
EPCAM	"17-1A, 323/A3, Ber-Ep4, BerEp4, CD326, CO-17A, EGP-2, EGP34, EGP40, Ep-CAM, ESA, GA733-2, HEA125, KS1/4, KSA, Ly74, M4S1, MH99, MIC18, MK-1, MOC-31, MOC31, TACST-1, TACSTD1, TROP1"	P16422
EPG5	"hEPG5, KIAA1632"	Q9HCE0
EPHA2	ECK	P29317
EPHA3	"ETK, ETK1, HEK, HEK4, TYRO4"	P29320
EPHB2	"DRT, EPHT3, ERK, Hek5, Tyro5"	P29323
EPHB4	"HTK, Tyro11"	P54760
EPHX1	EPHX	P07099
EPM2A	"LD, LDE"	O95278
EPO	EP	P01588
EPOR		P19235
EPRS1	"EARS, EPRS, GLUPRORS, PARS, QARS, QPRS"	P07814
EPS15	"AF-1P, MLLT5"	P42566
EPS8		Q12929
EPS8L2	"FLJ21935, FLJ22171, MGC3088"	Q9H6S3
EPS8L3	"FLJ21522, MGC16817"	Q8TE67
EPX	"EPO, EPP, EPX-PEN"	P11678
ERAL1	HERA-B	O75616
ERBB2	"c-ERB-2, c-ERB2, CD340, HER-2, HER2, MLN-19, NEU, NGL, p185(erbB2)"	P04626
ERBB3	"HER3, LCCS2"	P21860
ERBB4	"ALS19, HER4"	Q15303
ERC1	"CAST2, ELKS, KIAA1081, MGC12974, RAB6IP2"	Q8IUD2
ERCC1	RAD10	P07992
ERCC2	"EM9, MAG, MGC102762, MGC126218, MGC126219, XPD"	P18074
ERCC3	"BTF2, RAD25, Ssl2, XPB"	P19447
ERCC4	"FANCQ, RAD1, XPF"	Q92889
ERCC5	"ERCM2, XPGC"	P28715
ERCC6	"ARMD5, CKN2, CSB, RAD26"	"P0DP91, Q03468"
ERCC6L2	"C9orf102, FLJ37706, HEBO, RAD26L"	Q5T890
ERCC8	"CKN1, CSA"	Q13216
ERF	"PE-2, PE2"	P50548
ERG	"erg-3, p55"	P11308
ERGIC1	"ERGIC-32, ERGIC32, KIAA1181, NET24"	Q969X5
ERLIN1	"C10orf69, Erlin-1, KE04, SPFH1, SPG62"	O75477
ERLIN2	"C8orf2, Erlin-2, NET32, SPFH2, SPG18"	O94905
ERMARD	"C6orf70, dJ266L20.3, FLJ11152"	Q5T6L9
ESCO2	"EFO2, RBS"	Q56NI9
ESPN	DFNB36	B1AK53
ESR1	"ER-alpha, Era, ESR, NR3A1"	P03372
ESR2	"ER-beta, Erb, NR3A2"	Q92731
ESRP1	"FLJ20171, RBM35A"	Q6NXG1
ESRRB	"DFNB35, ERR2, ERRb, ERRbeta, ESRL2, NR3B2"	O95718
ETFA	"EMA, GA2, MADD"	P13804
ETFB		P38117
ETFDH	ETFQO	Q16134
ETHE1	"HSCO, YF13H12"	O95571
ETV1	ER81	P50549
ETV6	TEL	P41212
EVC	"DWF-1, EVC1"	P57679
EVC2	LBN	Q86UK5
EVI5	NB4S	O60447
EWSR1	EWS	Q01844
EXOC2	"FLJ11026, Sec5, SEC5L1"	Q96KP1
EXOC6B	"KIAA0919, SEC15B, SEC15L2"	Q9Y2D4
EXOC7	"BLOM4, EXO70, Exo70p, KIAA1067, YJL085W"	Q9UPT5
EXOC8	"EXO84, Exo84p, SEC84"	Q8IYI6
EXOSC1	"CGI-108, CSL4, Csl4p, hCsl4p, p13, SKI4, Ski4p"	Q9Y3B2
EXOSC2	"hRrp4p, p7, RRP4, Rrp4p"	Q13868
EXOSC3	"CGI-102, hRrp-40, hRrp40p, p10, RRP40, Rrp40p"	Q9NQT5
EXOSC5	"hRrp46p, MGC12901, p12B, RRP41B, RRP46, Rrp46p"	Q9NQT4
EXOSC8	"bA421P11.3, CIP3, EAP2, OIP2, p9, RRP43, Rrp43p"	Q96B26
EXOSC9	"p5, p6, PM/Scl-75, PMSCL1, RRP45, Rrp45p"	Q06265
EXPH5	SLAC2-B	Q8NEV8
EXT1	"LGCR, LGS, ttv"	Q16394
EXT2	SOTV	Q93063
EXTL3	"botv, REGR"	O43909
EYA1	BOR	Q99502
EYA4	"CMD1J, DFNA10"	O95677
EYS	"bA166P24.2, bA307F22.3, bA74E24.1, C6orf178, C6orf179, C6orf180, dJ1018A4.2, dJ303F19.1, EGFL10, EGFL11, RP25, SPAM"	Q5T1H1
EZH2	"ENX-1, EZH1, KMT6, KMT6A"	Q15910
F10		P00742
F11	FXI	P03951
F12		P00748
F13A1	F13A	P00488
F13B	FXIIIB	P05160
F2		P00734
F5		P12259
F7		P08709
F8	"DXS1253E, F8C, FVIII, HEMA"	P00451
F8A1	"DXS522E, F8A"	P23610
F8A2		P23610
F8A3		P23610
F9	FIX	P00740
FA2H	"FAAH, FAXDC1, FLJ25287, SPG35"	Q7L5A8
FADD	"GIG3, MORT1"	Q13158
FAH		P16930
FAM111A	"FLJ22794, KIAA1895"	Q96PZ2
FAM111B	CANP	Q6SJ93
FAM149B1	KIAA0974	Q96BN6
FAM161A	"FLJ13305, RP28"	Q3B820
